License Name,SPDX ID,Category
Apache Software License Version 2.0,Apache-2.0,Popular / Strong Community
Apache Software License Version 1.1,Apache-1.1,Superseded
Eclipse Public License -v 1.0,EPL-1.0,Superseded
Eclipse Public License version 2.0,EPL-2.0,Popular / Strong Community
European Union Public License version 1.2,EUPL-1.2,International
GNU Affero General Public License version 3,AGPL-3.0-only,Uncategorized
GNU General Public License version 2,GPL-2.0,Popular / Strong Community
GNU General Public License version 3,GPL-3.0-only,Popular / Strong Community
GNU Lesser General Public License version 2.1,LGPL-2.1,Popular / Strong Community
GNU Lesser General Public License version 3,LGPL-3.0-only,Popular / Strong Community
GNU Library General Public License version 2,LGPL-2.0-only,Popular / Strong Community
1-clause BSD License,BSD-1-Clause,Other/Miscellaneous
2-Clause BSD License,BSD-2-Clause,Popular / Strong Community
3-Clause BSD License,BSD-3-Clause,Popular / Strong Community
European Union Public License version 1.1,EUPL-1.1,Superseded
MIT License,MIT,Popular / Strong Community